lon,lat,count
12602750,2608750,2
12592250,2626250,2
12689250,2563750,1
12641250,2600750,1
12646750,2635750,8
12654750,2593750,1
12654750,2677250,1
12670750,2646750,1
12590250,2601750,3
12656750,2611250,1
12600750,2623750,1
12614250,2616250,3
12678250,2708750,1
12694250,2582750,1
12643750,2585750,5
12611750,2656250,3
12651750,2649250,1
12619750,2608750,60
12622250,2641750,21
12648250,2660250,1
12664250,2636750,1
12597750,2645250,1
12613750,2643750,99
12613750,2681750,1
12645750,2589750,13
12653750,2607250,1
12691250,2584250,1
12634750,2626750,5
12602750,2644250,1
12580250,2632250,1
12612250,2646250,23
12628250,2635750,2
12634750,2664250,2
12609750,2646750,12
12609750,2588750,1
12625750,2626250,21
12625750,2629250,96
12641750,2684250,1
12689750,2562750,3
12696750,2641750,1
12672250,2654750,1
12629750,2631750,1
12629750,2610750,3
12581750,2616250,2
12632250,2628750,76
12600250,2668250,1
12664250,2618750,1
12640250,2590750,34
12608250,2661250,11
12608250,2642250,10
12608250,2597750,5
12690750,2577750,1
12642750,2591250,4
12610750,2659250,3
12634750,2635750,5
12609250,2660750,5
12585250,2560750,3
12601250,2637750,6
12633250,2638750,85
12582750,2626250,1
12674250,2587250,3
12642250,2677250,12
12610250,2643250,74
12660750,2618750,2
12612750,2606250,2
12684750,2609250,1
12668750,2624250,2
12604750,2629750,29
12687250,2567250,2
12598750,2624750,2
12614750,2614250,28
12600750,2673250,1
12648750,2619250,1
12598250,2587750,1
12678250,2600250,2
12606250,2599750,9
12606250,2621250,3
12603750,2629250,98
12619750,2608250,36
12619750,2630250,200
12578750,2648250,1
12602750,2661250,1
12618250,2628750,2
12695750,2569750,6
12591250,2622250,3
12623250,2616750,18
12615750,2653750,2
12695750,2557750,3
12679750,2666250,1
12663750,2622250,1
12631750,2633250,2
12602250,2624250,1
12692750,2584250,2
12592750,2564250,1
12672750,2589750,2
12660750,2639750,3
12628750,2638250,8
12605250,2641250,20
12621250,2628250,2
12613250,2624750,18
12645250,2632250,2
12626750,2634750,2
12610750,2643750,129
12578750,2702750,3
12603250,2619250,6
12683250,2577750,1
12672250,2588750,2
12595250,2607250,1
12611250,2566750,1
12627250,2610250,1
12691250,2560250,1
12621750,2605750,20
12605750,2662250,1
12661750,2591250,2
12597750,2631750,1
12616250,2654250,2
12615250,2648750,4
12607750,2597750,1
12649750,2630250,2
12665750,2618750,1
12665750,2682750,1
12615250,2565250,3
12612750,2650250,114
12687250,2630750,2
12671250,2592750,1
12623250,2662250,2
12591250,2618250,3
12615250,2614250,2
12599250,2671250,2
12601750,2659750,13
12585750,2695750,5
12674250,2570750,1
12594250,2623750,8
12596750,2626250,3
12612250,2611750,11
12665250,2684250,3
12585250,2699250,1
12686750,2708250,2
12697250,2564250,3
12606750,2630250,278
12673750,2587750,4
12609750,2628750,105
12609750,2667250,2
12609750,2594750,3
12622750,2565750,2
12647250,2683250,3
12601750,2634750,28
12585750,2623250,8
12625750,2631750,3
12692250,2685250,1
12676250,2565750,3
12596750,2633750,1
12668750,2592250,2
12588750,2699250,1
12620250,2615250,12
12621250,2560750,3
12623750,2658250,9
12591750,2631750,5
12637250,2662250,1
12695750,2563750,3
12663750,2613750,1
12631750,2618750,2
12634250,2599250,3
12604250,2622750,35
12629250,2609250,1
12597250,2629750,3
12669250,2592250,3
12653250,2693250,1
12601750,2649750,1
12623250,2631750,328
12591250,2615250,2
12599250,2621750,1
12617750,2618750,58
12601750,2610750,1
12585750,2700250,2
12673750,2601250,1
12676250,2573250,1
12596250,2614250,1
12642250,2640250,5
12631750,2621250,3
12634250,2620750,1
12618250,2652250,33
12602250,2598750,4
12692750,2689250,3
12644750,2637250,2
12628750,2636250,1
12580750,2702750,1
12620750,2651750,7
12588750,2674750,2
12593250,2660250,1
12659750,2622750,3
12611750,2573250,1
12611750,2647750,12
12595750,2615750,5
12651750,2605250,1
12635750,2605250,1
12635750,2587750,2
12648750,2643250,13
12632750,2704750,1
12584750,2699750,1
12640750,2633250,43
12604250,2617250,2
12654750,2595250,1
12638750,2674250,4
12638750,2625750,1
12591750,2622750,4
12662750,2588250,1
12662750,2614250,4
12649250,2631250,2
12617250,2616750,17
12601250,2609250,1
12647250,2628750,10
12609750,2638750,203
12609750,2613250,2
12625750,2628750,198
12585750,2568250,2
12585750,2628750,1
12631250,2668250,2
12583250,2613750,2
12607250,2666250,1
12607250,2631750,222
12628750,2608750,5
12638750,2623250,1
12620250,2615750,7
12580250,2704250,4
12597250,2622250,8
12661250,2590250,1
12677250,2562750,1
12669250,2592750,1
12685250,2633250,1
12653250,2636750,1
12605250,2575750,3
12607750,2567250,1
12610250,2651250,3
12618250,2627250,3
12591750,2690750,4
12607750,2591750,1
12687750,2628750,1
12621250,2616250,7
12653250,2626750,2
12653250,2700750,1
12588250,2637250,1
12641750,2670750,1
12638750,2626750,6
12639250,2629250,2
12620750,2600750,1
12620750,2618250,23
12636750,2562750,1
12601250,2661250,6
12609250,2639250,29
12625250,2559750,1
12697250,2563250,4
12684750,2560750,1
12617250,2653750,3
12617250,2603750,10
12694750,2581250,1
12606750,2567750,1
12622750,2634250,1
12602750,2618750,4
12605250,2628250,28
12685250,2576750,1
12645250,2636750,14
12645250,2647750,3
12661250,2616250,2
12618750,2558750,1
12642750,2631250,5
12674750,2568750,2
12624250,2613750,9
12648250,2683250,1
12618250,2613250,25
12594250,2628750,2
12626250,2620750,4
12690250,2615750,1
12602250,2565750,1
12602250,2607250,4
12650250,2659250,4
12623750,2623750,13
12687750,2614250,1
12618750,2618250,43
12618750,2628250,1
12608250,2649250,2
12602750,2629250,98
12634750,2600250,1
12674750,2604750,2
12690750,2575750,2
12608250,2623750,38
12624250,2597750,1
12640250,2579750,3
12621750,2612250,11
12643250,2639250,19
12619250,2669750,1
12603250,2648750,4
12605750,2634250,115
12597750,2627750,6
12696250,2568250,3
12672250,2631750,1
12608750,2629250,41
12696750,2558750,8
12600750,2635750,1
12614250,2622750,12
12630250,2637750,22
12630250,2627250,10
12662250,2641250,1
12606250,2613250,2
12654250,2610250,1
12619750,2629250,225
12595750,2625250,6
12611750,2623750,73
12589750,2665250,2
12600250,2661750,4
12632250,2607250,3
12685750,2626750,1
12635250,2566250,1
12635250,2614750,2
12611250,2626750,144
12611250,2632750,85
12643250,2686250,1
